FlowID,Source,Destination,Throughput(Mbps),Latency_ms,Jitter_ms,PacketLoss(%)
1,10.1.3.1,10.1.3.21,0,0,0,100
2,10.1.3.2,10.1.3.21,0,0,0,100
3,10.1.3.3,10.1.3.21,0,0,0,100
4,10.1.3.4,10.1.3.21,0.0841184,2.28417,2.69305,90.4643
5,10.1.3.5,10.1.3.21,0,0,0,100
6,10.1.3.6,10.1.3.21,0,0,0,100
7,10.1.3.7,10.1.3.21,0,0,0,100
8,10.1.3.8,10.1.3.21,0,0,0,100
9,10.1.3.9,10.1.3.21,0,0,0,100
10,10.1.3.10,10.1.3.21,0,0,0,100
11,10.1.3.11,10.1.3.21,0,0,0,100
12,10.1.3.12,10.1.3.21,0,0,0,100
13,10.1.3.13,10.1.3.21,0,0,0,100
14,10.1.3.14,10.1.3.21,0,0,0,100
15,10.1.3.15,10.1.3.21,0,0,0,100
16,10.1.3.16,10.1.3.21,0,0,0,100
17,10.1.3.17,10.1.3.21,0,0,0,100
18,10.1.3.18,10.1.3.21,0,0,0,100
19,10.1.3.19,10.1.3.21,0,0,0,100
20,10.1.3.20,10.1.3.21,0,0,0,100
