StartDateTime,EndDateTime,Duration_s,NodeDensity,TotalTxPackets,TotalRxPackets,AvgThroughput(Mbps),PacketLoss(%),AvgLatency(ms),AvgJitter(ms),AvgRSSI(dBm),AvgSNR(dB),AvgBER
2025-12-09 16:50:16,2025-12-09 16:50:21,5,7,47600,3695,0.370688,92.2374,50.0787,8.05943,-77.1025,16.8634,4.27742e-308
2025-12-09 16:50:21,2025-12-09 16:50:26,5,10,28000,2831,0.203942,89.8893,27.0152,6.47121,0,0,0
2025-12-09 16:50:26,2025-12-09 16:50:31,5,11,25200,2461,0.156391,90.2341,24.8748,6.15728,0,0,0
2025-12-09 16:50:31,2025-12-09 16:50:41,10,9,19600,1491,0.0887458,92.3929,17.6066,5.7682,0,0,0
2025-12-09 16:50:41,2025-12-09 16:50:46,5,11,8400,555,0.0561602,93.3929,26.4712,8.4156,0,0,0
2025-12-09 16:50:46,2025-12-09 16:50:46,0,12,2800,290,0.0871495,89.6429,60.729,11.5296,0,0,0
