time_s,channel_MHz,signal_dBm,noise_dBm,SNR_dB,BER,AvgSNR(dB),AvgBER,RandSeed,RunDateTime
0.121074,5210.000000,-77.849960,-93.965985,16.116025,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121134,5210.000000,-73.688065,-93.965985,20.277920,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121134,5210.000000,-79.968240,-93.965985,13.997746,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121134,5210.000000,-74.986346,-93.965985,18.979639,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121134,5210.000000,-80.876639,-93.965985,13.089346,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121134,5210.000000,-77.095415,-93.965985,16.870570,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121134,5210.000000,-74.052105,-93.965985,19.913880,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121134,5210.000000,-77.273743,-93.965985,16.692243,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121330,5210.000000,-79.082005,-93.965985,14.883980,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121330,5210.000000,-78.158602,-93.965985,15.807383,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121330,5210.000000,-76.464962,-93.965985,17.501023,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121330,5210.000000,-75.613383,-93.965985,18.352602,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121330,5210.000000,-74.222391,-93.965985,19.743594,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121330,5210.000000,-81.176021,-93.965985,12.789964,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121330,5210.000000,-80.566156,-93.965985,13.399829,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121390,5210.000000,-80.219639,-93.965985,13.746346,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121390,5210.000000,-76.737621,-93.965985,17.228364,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121390,5210.000000,-76.560936,-93.965985,17.405049,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121390,5210.000000,-78.517570,-93.965985,15.448416,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121390,5210.000000,-76.016426,-93.965985,17.949560,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121390,5210.000000,-80.030926,-93.965985,13.935059,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121458,5210.000000,-74.580585,-93.965985,19.385401,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121458,5210.000000,-76.992565,-93.965985,16.973420,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121458,5210.000000,-80.666557,-93.965985,13.299428,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121458,5210.000000,-79.181590,-93.965985,14.784395,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121458,5210.000000,-75.861375,-93.965985,18.104610,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121458,5210.000000,-70.817565,-93.965985,23.148420,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121678,5210.000000,-72.994369,-79.183637,6.189268,0.001964,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121678,5210.000000,-80.509768,-93.965985,13.456217,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121678,5210.000000,-71.955353,-93.965985,22.010632,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121738,5210.000000,-76.281944,-93.965985,17.684041,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121738,5210.000000,-77.663872,-93.965985,16.302113,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121738,5210.000000,-73.438553,-93.965985,20.527432,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121738,5210.000000,-73.698728,-93.965985,20.267257,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121738,5210.000000,-76.567710,-93.965985,17.398275,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121738,5210.000000,-77.994760,-93.965985,15.971225,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121738,5210.000000,-75.718191,-93.965985,18.247794,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121806,5210.000000,-79.997988,-93.965985,13.967997,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121806,5210.000000,-79.852176,-93.965985,14.113809,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121806,5210.000000,-75.959165,-93.965985,18.006820,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121806,5210.000000,-77.884076,-93.965985,16.081909,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121806,5210.000000,-77.572298,-93.965985,16.393687,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121806,5210.000000,-74.086081,-93.965985,19.879904,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121806,5210.000000,-78.214232,-93.965985,15.751753,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121806,5210.000000,-75.111498,-93.965985,18.854487,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.121806,5210.000000,-81.295338,-93.965985,12.670647,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
