time_s,channel_MHz,Modulation,ConstellationSize,PhyRate_Mbps,signal_dBm,noise_dBm,SNR_dB,BER,RandSeed,RunDateTime
0.120690,5210,OFDM,2,6.000000,-76.598226,-78.493642,1.895416,0.000000,12345,24-Oct-2025_09-34
0.120859,5210,OFDM,2,6.000000,-75.223083,-79.756387,4.533304,0.000000,12345,24-Oct-2025_09-34
0.120859,5210,OFDM,2,6.000000,-74.466979,-74.845538,0.378559,0.000020,12345,24-Oct-2025_09-34
0.120859,5210,OFDM,2,6.000000,-74.142304,-74.859578,0.717274,0.000009,12345,24-Oct-2025_09-34
0.120859,5210,OFDM,2,6.000000,-72.302743,-77.959298,5.656555,0.000000,12345,24-Oct-2025_09-34
0.120859,5210,OFDM,2,6.000000,-71.269616,-72.002108,0.732492,0.000009,12345,24-Oct-2025_09-34
0.120868,5210,OFDM,2,6.000000,-79.531600,-82.668740,3.137140,0.000000,12345,24-Oct-2025_09-34
0.120892,5210,OFDM,2,6.000000,-72.709692,-93.965985,21.256293,0.000000,12345,24-Oct-2025_09-34
0.120892,5210,OFDM,2,6.000000,-72.806475,-93.965985,21.159510,0.000000,12345,24-Oct-2025_09-34
0.120967,5210,OFDM,2,6.000000,-78.694811,-82.524577,3.829766,0.000000,12345,24-Oct-2025_09-34
0.120967,5210,OFDM,2,6.000000,-77.485175,-81.246660,3.761484,0.000000,12345,24-Oct-2025_09-34
0.120967,5210,OFDM,2,6.000000,-79.285427,-84.267927,4.982500,0.000000,12345,24-Oct-2025_09-34
0.121057,5210,OFDM,2,6.000000,-78.475843,-93.965985,15.490142,0.000000,12345,24-Oct-2025_09-34
0.121094,5210,OFDM,2,6.000000,-75.525884,-77.013186,1.487302,0.000001,12345,24-Oct-2025_09-34
0.121094,5210,OFDM,2,6.000000,-73.771657,-77.246023,3.474366,0.000000,12345,24-Oct-2025_09-34
0.121094,5210,OFDM,2,6.000000,-73.818227,-73.458119,-0.360108,0.000064,12345,24-Oct-2025_09-34
0.121094,5210,OFDM,2,6.000000,-77.071784,-78.039962,0.968179,0.000005,12345,24-Oct-2025_09-34
0.121094,5210,OFDM,2,6.000000,-77.725768,-77.592225,-0.133543,0.000050,12345,24-Oct-2025_09-34
0.121094,5210,OFDM,2,6.000000,-73.792081,-75.803875,2.011794,0.000000,12345,24-Oct-2025_09-34
0.121094,5210,OFDM,2,6.000000,-75.306602,-75.051479,-0.255123,0.000058,12345,24-Oct-2025_09-34
0.121094,5210,OFDM,2,6.000000,-71.524186,-76.485628,4.961442,0.000000,12345,24-Oct-2025_09-34
0.121094,5210,OFDM,2,6.000000,-70.125609,-75.122458,4.996849,0.000000,12345,24-Oct-2025_09-34
0.121121,5210,OFDM,2,6.000000,-71.140517,-80.539403,9.398885,0.000000,12345,24-Oct-2025_09-34
0.121121,5210,OFDM,2,6.000000,-73.140967,-71.786008,-1.354959,0.000083,12345,24-Oct-2025_09-34
0.121154,5210,OFDM,2,6.000000,-72.616975,-93.965985,21.349010,0.000000,12345,24-Oct-2025_09-34
0.121259,5210,OFDM,2,6.000000,-75.587520,-93.965985,18.378465,0.000000,12345,24-Oct-2025_09-34
0.121259,5210,OFDM,2,6.000000,-78.066603,-93.965985,15.899382,0.000000,12345,24-Oct-2025_09-34
0.121259,5210,OFDM,2,6.000000,-81.473153,-93.965985,12.492832,0.000000,12345,24-Oct-2025_09-34
0.121259,5210,OFDM,2,6.000000,-81.818940,-93.965985,12.147045,0.000000,12345,24-Oct-2025_09-34
